precision_threshold,mrfh,hit_cases,hit_rate_pct,threshold_type,method,task,hit_rate_base,mrfh_base,baseline_threshold,hit_rate_drop_pp,mrfh_drop
0.3,0.5785,528,76.3,precision,CPathAgent,TCGA_LUNG_Classification,81.6,0.6701,0.05,5.299999999999997,0.09160000000000001
0.35,0.5579,525,75.9,precision,CPathAgent,TCGA_LUNG_Classification,81.6,0.6701,0.05,5.699999999999989,0.11220000000000008
0.4,0.531,511,73.8,precision,CPathAgent,TCGA_LUNG_Classification,81.6,0.6701,0.05,7.799999999999997,0.1391
0.45,0.5049,498,72.0,precision,CPathAgent,TCGA_LUNG_Classification,81.6,0.6701,0.05,9.599999999999994,0.1652
0.5,0.4752,485,70.1,precision,CPathAgent,TCGA_LUNG_Classification,81.6,0.6701,0.05,11.5,0.19490000000000002
0.55,0.4514,473,68.4,precision,CPathAgent,TCGA_LUNG_Classification,81.6,0.6701,0.05,13.199999999999989,0.2187
0.6,0.4357,456,65.9,precision,CPathAgent,TCGA_LUNG_Classification,81.6,0.6701,0.05,15.699999999999989,0.23440000000000005
0.65,0.409,440,63.6,precision,CPathAgent,TCGA_LUNG_Classification,81.6,0.6701,0.05,17.999999999999993,0.26110000000000005
0.7,0.3866,429,62.0,precision,CPathAgent,TCGA_LUNG_Classification,81.6,0.6701,0.05,19.599999999999994,0.28350000000000003
0.75,0.3673,415,60.0,precision,CPathAgent,TCGA_LUNG_Classification,81.6,0.6701,0.05,21.599999999999994,0.3028
0.8,0.3413,389,56.2,precision,CPathAgent,TCGA_LUNG_Classification,81.6,0.6701,0.05,25.39999999999999,0.32880000000000004
0.85,0.3161,371,53.6,precision,CPathAgent,TCGA_LUNG_Classification,81.6,0.6701,0.05,27.999999999999993,0.35400000000000004
0.9,0.2994,349,50.4,precision,CPathAgent,TCGA_LUNG_Classification,81.6,0.6701,0.05,31.199999999999996,0.37070000000000003
0.95,0.2677,317,45.8,precision,CPathAgent,TCGA_LUNG_Classification,81.6,0.6701,0.05,35.8,0.40240000000000004
1.0,0.0,0,0.0,precision,CPathAgent,TCGA_LUNG_Classification,81.6,0.6701,0.05,81.6,0.6701
0.0,0.6364,721,89.8,precision,PathAgent,TCGA_LUNG_Classification,87.0,0.604,0.05,-2.799999999999997,-0.032399999999999984
0.05,0.604,699,87.0,precision,PathAgent,TCGA_LUNG_Classification,87.0,0.604,0.05,0.0,0.0
0.1,0.5811,686,85.4,precision,PathAgent,TCGA_LUNG_Classification,87.0,0.604,0.05,1.5999999999999943,0.02290000000000003
0.15,0.5602,672,83.7,precision,PathAgent,TCGA_LUNG_Classification,87.0,0.604,0.05,3.299999999999997,0.04379999999999995
0.2,0.5387,659,82.1,precision,PathAgent,TCGA_LUNG_Classification,87.0,0.604,0.05,4.900000000000006,0.06530000000000002
0.25,0.5159,646,80.4,precision,PathAgent,TCGA_LUNG_Classification,87.0,0.604,0.05,6.599999999999994,0.08809999999999996
0.3,0.4944,633,78.8,precision,PathAgent,TCGA_LUNG_Classification,87.0,0.604,0.05,8.200000000000003,0.10959999999999998
0.35,0.4729,623,77.6,precision,PathAgent,TCGA_LUNG_Classification,87.0,0.604,0.05,9.400000000000006,0.1311
0.4,0.457,616,76.7,precision,PathAgent,TCGA_LUNG_Classification,87.0,0.604,0.05,10.299999999999997,0.14699999999999996
0.45,0.4348,598,74.5,precision,PathAgent,TCGA_LUNG_Classification,87.0,0.604,0.05,12.5,0.16919999999999996
0.5,0.4208,585,72.9,precision,PathAgent,TCGA_LUNG_Classification,87.0,0.604,0.05,14.099999999999994,0.18319999999999997
0.55,0.4062,573,71.4,precision,PathAgent,TCGA_LUNG_Classification,87.0,0.604,0.05,15.599999999999994,0.19779999999999998
0.6,0.3935,559,69.6,precision,PathAgent,TCGA_LUNG_Classification,87.0,0.604,0.05,17.400000000000006,0.21049999999999996
0.65,0.3764,550,68.5,precision,PathAgent,TCGA_LUNG_Classification,87.0,0.604,0.05,18.5,0.22759999999999997
0.7,0.3631,541,67.4,precision,PathAgent,TCGA_LUNG_Classification,87.0,0.604,0.05,19.599999999999994,0.2409
0.75,0.3519,527,65.6,precision,PathAgent,TCGA_LUNG_Classification,87.0,0.604,0.05,21.400000000000006,0.2521
0.8,0.3409,516,64.3,precision,PathAgent,TCGA_LUNG_Classification,87.0,0.604,0.05,22.700000000000003,0.2631
0.85,0.3301,506,63.0,precision,PathAgent,TCGA_LUNG_Classification,87.0,0.604,0.05,24.0,0.2739
0.9,0.3209,500,62.3,precision,PathAgent,TCGA_LUNG_Classification,87.0,0.604,0.05,24.700000000000003,0.28309999999999996
