case,roi_rows,max_precision,mean_precision,max_recall,mean_recall,max_iou,mean_iou,any_hit,agg_precision,agg_recall,agg_iou,method,task,roi_source,correct,has_matching_correct
test_001,10,0.842,0.08496000000000001,0.0494,0.00499,0.0489,0.00494,1,0.1013,0.0496,0.0344,Pathology-CoT,CAMELYON16_detection,/work/Agent_benchmark/Pathology-CoT/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_002,10,0.7958,0.22488000000000002,0.0602,0.014249999999999999,0.0593,0.01389,1,0.1527,0.1102,0.0684,Pathology-CoT,CAMELYON16_detection,/work/Agent_benchmark/Pathology-CoT/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_004,9,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Pathology-CoT,CAMELYON16_detection,/work/Agent_benchmark/Pathology-CoT/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_008,10,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Pathology-CoT,CAMELYON16_detection,/work/Agent_benchmark/Pathology-CoT/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_010,8,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Pathology-CoT,CAMELYON16_detection,/work/Agent_benchmark/Pathology-CoT/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,,False
test_011,3,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Pathology-CoT,CAMELYON16_detection,/work/Agent_benchmark/Pathology-CoT/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_013,10,0.0074,0.0014399999999999999,1.0,0.20758000000000001,0.0074,0.0014399999999999999,1,0.0008,1.0,0.0008,Pathology-CoT,CAMELYON16_detection,/work/Agent_benchmark/Pathology-CoT/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,False,True
test_016,7,0.8966,0.25157142857142856,0.0549,0.014628571428571427,0.0544,0.014514285714285714,1,0.2493,0.1024,0.0783,Pathology-CoT,CAMELYON16_detection,/work/Agent_benchmark/Pathology-CoT/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,False,True
test_021,4,0.9734,0.81885,0.02,0.01225,0.02,0.01215,0,0.6156,0.0319,0.0312,Pathology-CoT,CAMELYON16_detection,/work/Agent_benchmark/Pathology-CoT/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
test_026,6,0.1519,0.025316666666666668,0.02,0.0033333333333333335,0.018,0.0029999999999999996,0,0.0491,0.02,0.0144,Pathology-CoT,CAMELYON16_detection,/work/Agent_benchmark/Pathology-CoT/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,False,True
test_027,6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Pathology-CoT,CAMELYON16_detection,/work/Agent_benchmark/Pathology-CoT/post_eval/CAMELYON16_detection/ROI/roi_overlap_results.csv,True,True
